24,172
22,167
19,162
17,157
15,152
13,147
12,142
10,137
9,132
8,127
8,122
8,117
8,112
8,107
8,102
9,97
14,95
17,100
22,105
24,110
26,115
28,120
30,125
31,130
32,135
33,140
33,145
33,150
33,155
33,160
32,165
32,170
31,175
30,180
33,185
37,190
42,195
47,200
52,205
57,209
62,212
67,215
72,218
77,220
82,223
87,224
92,226
97,227
102,228
107,229
112,229
117,230
122,230
127,229
132,229
137,228
142,227
147,226
152,225
157,223
162,221
167,218
172,216
177,213
182,209
187,205
192,201
197,197
201,192
205,187
209,182
210,177
215,173
_
210,177
209,172
208,167
207,162
207,157
207,152
207,147
207,142
208,137
209,132
210,127
211,122
213,117
215,112
218,107
221,102
225,97
230,96
231,101
232,106
232,111
232,116
232,121
232,126
231,131
230,136
229,141
227,146
226,151
223,156
221,161
219,166
216,171
_
11,88
13,83
15,78
18,73
22,68
27,64
32,60
37,56
42,53
47,51
52,47
52,42
54,37
56,32
58,27
62,22
67,18
72,15
77,13
82,12
87,11
92,10
97,9
102,8
107,8
112,8
117,7
122,7
127,7
132,8
137,8
142,9
147,9
152,10
157,11
162,13
167,15
172,17
177,21
181,26
184,31
186,36
187,41
188,46
188,51
_
188,46
193,51
198,53
203,56
208,59
213,63
218,68
221,73
224,78
227,83
228,88
_
47,51
52,53
52,59
54,64
59,68
64,71
69,74
74,76
79,79
84,80
89,82
94,83
99,84
104,84
109,85
114,85
119,85
124,85
129,85
134,85
139,84
144,83
149,82
154,81
159,79
164,78
169,75
174,73
179,70
184,66
188,61
_
109,223
104,222
99,220
94,218
89,215
84,211
79,206
74,201
71,196
69,191
67,186
66,181
65,176
65,171
65,166
65,161
66,156
68,151
70,146
73,141
77,136
81,131
86,127
91,124
96,122
101,119
106,118
111,117
116,116
121,116
126,116
131,117
136,118
141,120
146,123
151,125
156,129
161,133
164,138
167,143
170,148
172,153
174,158
175,163
175,168
175,173
174,178
174,183
172,188
170,193
167,198
163,203
159,208
154,213
148,216
143,219
138,221
133,222
128,223
_
100,39
102,44
102,49
102,54
102,59
102,64
101,69
97,74
92,71
91,66
91,61
90,56
90,51
91,46
91,41
_
147,39
149,44
149,49
149,54
149,59
149,64
148,69
144,74
139,72
138,67
138,62
137,57
137,52
138,47
138,42
141,37
_
